Skill	Chart	Start	Epoch	Training	Needs
Acrobatics	Street	Shift Shift Shift	1	Self Taught	Nothing
Akarak Art	Life		2	Instructor	Street Fighting, Acrobatics
AI	Tech		3	Instructor	Gaia Systems, Automaton Systems
Antiquities	Academia		2	Instructor	History
Architecture	Academia		2	Instructor	Graphics, Colony Know
Astromechanics	Academia		2	Instructor	Physical
Automaton Know	Tech	Wit Wit Soul	1	Instructor	Nothing
Automaton Systems	Tech		2	Instructor	Automaton Know
Automaton Design	Tech		3	Instructor	Automaton Systems
Bike Pilot	Task	Wit Wit Shift	1	Self Taught	Nothing
Bike Combat	Task		2	Instructor	Bike Pilot
Biological	Academia	Wit Wit Soul	1	Instructor	Nothing
Bionics Know	Medical	Wit Wit Soul	1	Instructor	Nothing
Bionics Systems	Medical		4	Instructor	Bionics Know, Surgery
Bionics Design	Medical		5	Instructor	Bionics Systems
Bioweave	Medical		5	Instructor	Bionics Systems
Blend	Life		2	Self Taught	Streetwise
Botanical	Academia	Wit Wit Soul	1	Instructor	Nothing
Chemical	Academia	Wit Wit Wit	1	Instructor	Nothing
Colony Know	Technical	Wit Wit Wit	1	Instructor	Nothing
Colony Systems	Technical		2	Instructor	Colony Know
Colony Design	Technical		3	Instructor	Colony Systems
Commodities	Life		2	Instructor	Trading
Counsel	Life		2	Instructor	Empathy
Cruiser Pilot	Task	Wit Wit Shift	1	Selt Taught	Nothing
Cruiser Combat	Task		2	Instructor	Cruiser Pilot
Deal (Street)	Life	Wit Wit Shift	1	Self Taught	Nothing
Diagnosis (Medical)	Medical		2	Instructor	Medical Basic
Ecopolitical	Academia	Wit Wit Wit	1	Self Taught	Nothing
Empathy	Life	Wit Soul Soul	1	Self Taught	Nothing
Energy Know	Technical	Wit Wit Wit	1	Instructor	Nothing
Energy Systems	Technical		2	Instructor	Energy Know
Energy Design	Technical		3	Instructor	Energy Systems
Explosives	Academia		2	Instructor	Chemical
Fighting (Street)	Life	Battle Battle Shift	1	Self Taught	Nothing
Food Science	Academia		2	Instructor	Botanical, Biological
Forgery	Life		2	Instructor	Graphics
Gaia Know	Technical	Wit Wit Wit	1	Instructor	Nothing
Gaia Systems	Technical		2	Instructor	Computer Know
Gaia Design	Technical		3	Instructor	Computer Systems
Gaia Hacking	Technical		3	Instructor	Computer Design
Graphics	Academia	Wit Soul Soul	1	Self Taught	Nothing
Grav Pilot	Task	Wit Wit Shift	1	Instructor	Nothing
Grav Combat	Task		2	Instructor	Grav Pilot
Gun Fu	Task		2	Instructor	Light Firing, Street Fighting
Heavy Firing	Task	Wit Shift Shift	1	Self Tauht	Nothing
Heavy Grav Pilot	Task	Wit Wit Shift	1	Self Taught	Nothing
Heavy Grav Combat	Task		2	Instructor	Heavy Grav Pilot
History	Academia	Wit Wit Wit	1	Self Taught	Nothing
Medical Basic	Medical	Wit Wit Soul	1	Instructor	Nothing
Medical Diagnosis	Medical		2	Instructor	Medical Basic
Medical Surgery	Medical		3	Instructor	Medical Diagnosis
Impersonation	Academia		2	Self Taught	Thespian
Interrogate	Life		2	Instructor	Persuade, Empathy
Intimidate	Life		2	Self Taught	Persuade
Journalism	Academia		2	Self Taught	History
Language	Academia	Wit Wit Soul	1	Self Taught	
Law	Academia	Wit Wit Soul	1	Self Taught	Nothing
Light Firing	Task	Wit Shift Shift	1	Self Taught	Nothing
Macroecology	Academia		2	Instructor	Biological, Botanical
Macromechanics	Academia		2	Instructor	Physical
Mechasys Know	Technical	Wit Wit Wit	1	Instructor	Nothing
Mechasys Systems	Technical		2	Instructor	Mechasys Know
Mechasys Design	Technical		3	Instructor	Mechasys Systems
Oration	Academia		2	Self Taught	Language
Persuade	Life	Wit Wit Soul	1	Self Taught	Nothing
Physical	Academia	Wit Wit Wit	1	Instructor	Nothing
Pick Pocket	Life		2	Self Taught	Sleight of Hand
Powered Armour (PA) User	Task	Soul Shift Shift	1	Instructor	Nothing
Powered Armour (PA) Combat	Task		2	Instructor	Powered Armour (PA) Use
Street Fighting
Rail Fighting	Life		2	Instructor	Street Fighting
Research	Tech		2	Instructor	Gaia Know
Scale Wall	Life		2	Self Taught	Acrobatics
Scam	Life		2	Self Taught	Deal, Streetwise, Language
Seduce	Life		2	Self Taught	Style, Empathy
Silent Shadow	Life		2	Self Taught	Stealth
Sleight of hand	Life	Wit Shift Shift	1	Self Taught	Nothing
Socioeconomics	Academia		2	Instructor	Ecopolitical
Spacecraft Know	Technical	Wit Wit Wit	1	Instructor	Nothing
Spacecraft Systems	Technical		2	Instructor	Spacecraft Know
Spacecraft Design	Technical		3	Instructor	Spacecraft Systems
Stealth	Life	Wit Shift Shift	1	Self Taught	Nothing
Street Fighting	Life	Battle Battle Shift	1	Self Taught	Nothing
Streetwise	Life	Wit Soul Soul	1	Self Taught	Nothing
Style	Life	Wit Soul Soul	1	Self Taught	Nothing
Surgery	Medical		3	Instructor	Diagnosis (Medical)
Thespian	Academia	Wit Soul Soul	1	Instructor	Nothing
Trading (Street)	Life	Wit Wit Soul	1	Self Taught	Nothing
Vehicle Know	Technical	Wit Wit Wit	1	Instructor	Nothing
Vehicle Systems	Technical		2	Instructor	Vehicle Know
Vehicle Design	Technical		3	Instructor	Vehicle Systems
Weapon Know	Technical	Wit Wit Wit	1	Instructor	Nothing
Weapon Systems	Technical		2	Instructor	Weapon Know
Weapon Design	Technical		3	Instructor	Weapon Systems

